021006;091206;a
080107;170307;sp
230407;300607;su
011007;081207;a
070108;150308;sp
210408;280608;su
290908;061208;a
050109;140309;sp
200409;270609;su
051009;121209;a
110110;200310;sp
260410;030710;su
041010;111210;a
100111;190311;sp
270411;020711;su
031011;101211;a
090112;170312;sp
230412;300612;su
011012;081212;a
070113;160313;sp
220413;290613;su
300913;071213;a
060114;150314;sp
230414;280614;su
290914;061214;a
050115;140315;sp
200415;270615;su
051015;121215;a
110116;190316;sp
250416;020716;su
031016;101216;a
090117;180317;sp
240417;010717;su
